Province_Number,Political_Subdivision_Segment,Projected_Longitude,Projected_Latitude,Unprojected_Latitude_Radians,Unprojected_Longitude/Radians
45,1,4040.51,3147.4,0.23051,0.72926
45,1,4041.99,3145.17,0.23044,0.72931
45,1,4043.77,3143.25,0.23038,0.72937
45,1,4045.1,3141.02,0.2303,0.72941
45,1,4046.88,3139.1,0.23024,0.72947
45,1,4048.36,3136.88,0.23017,0.72952
45,1,4049.69,3134.65,0.2301,0.72956
45,1,4051.18,3132.28,0.23002,0.72961
45,1,4052.51,3130.06,0.22995,0.72966
45,1,4053.85,3127.84,0.22987,0.7297
45,1,4055.33,3125.61,0.2298,0.72975
45,1,4056.66,3123.24,0.22972,0.72979
45,1,4057.71,3120.72,0.22964,0.72983
45,1,4059.19,3118.5,0.22957,0.72987
45,1,4060.09,3115.83,0.22948,0.7299
45,1,4061.13,3113.16,0.22939,0.72994
45,1,4062.62,3110.94,0.22932,0.72999
45,1,4063.66,3108.42,0.22924,0.73002
45,1,4065,3106.05,0.22916,0.73006
45,1,4066.33,3103.83,0.22909,0.73011
45,1,4067.38,3101.16,0.229,0.73014
45,1,4068.86,3098.94,0.22893,0.73019
45,1,4070.19,3096.71,0.22886,0.73023
45,1,4071.68,3094.49,0.22878,0.73028
45,1,4072.58,3091.82,0.2287,0.73031
45,1,4072.59,3089.3,0.22861,0.73031
45,1,4074.06,3089.6,0.22862,0.73036
